rstar,g,z,output gap
2.81281879316121,3.05821352734252,-0.245394734181311,-4.19578195394922
2.87213399740186,3.18443477757988,-0.31230078017802,-5.20924211965223
2.82306268312663,3.0531348084118,-0.230072125285171,-5.63161037517909
2.73661391229817,3.00781277723987,-0.271198864941699,-6.23017141602952
2.86700694656926,3.12910195365832,-0.262095007089057,-6.20475982610844
2.89669038234528,3.36110442981204,-0.464414047466766,-6.18255961456214
3.22556562071744,3.40467662548911,-0.179111004771677,-4.68652032831903
3.14572257363743,3.54319846311851,-0.397475889481077,-4.523793683083
3.30299128281052,3.62706971291994,-0.324078430109415,-3.71185714862054
3.47061690080392,3.68676319030507,-0.216146289501145,-2.96799691071249
3.36425370876262,3.65888499426304,-0.294631285500423,-2.9548422753893
