Date,rstar,g,z,output gap,,All results are output from the Stage 3 model.,,,,,,,,,Standard Errors,Date,y*,r*,g,,rrgap
1978-04-01,3.46282613442297,3.43348261189937,0.0293435225236037,3.77012998427176,,,,,,,,,,,,1978-04-01,1.55772658095865,0.984081462141923,0.397910982667744,,-2.14946052896968
1978-07-01,3.37313038015483,3.35812660014594,0.0150037800088909,4.22414413599131,,,,,,,,,,,,1978-07-01,1.55571958609542,0.986012694644732,0.398398383858879,,-1.21935134564728
1978-10-01,3.47659468652096,3.42867167140094,0.0479230151200195,4.46832456354434,,,,,,,,,,,,1978-10-01,1.55776231252608,0.987961996785015,0.399033400331713,,-0.014785601807799
1979-01-01,3.19898122034379,3.34425425269323,-0.145273032349437,3.77319403510603,,,,,,,,,,,,1979-01-01,1.55243567776879,0.989951918326825,0.399831701458105,,1.00369323543383
1979-04-01,3.35363077449639,3.25284302271802,0.100787751778371,3.96646739434254,,,,,,,,,,,,1979-04-01,1.54927401120809,0.992022632895433,0.400754093284357,,0.50575418647263
1979-07-01,3.3782862515719,3.35788407500119,0.0204021765707066,3.25177915219956,,,,,,,,,,,,1979-07-01,1.54769732672078,0.994178294457333,0.401754405195736,,1.21269389509769
1979-10-01,3.42786986616527,3.3205584642976,0.107311401867675,3.00917810601118,,,,,,,,,,,,1979-10-01,1.5488704801734,0.996396511263522,0.402878750617372,,3.90569409335515
1980-01-01,3.59505194620162,3.31955337117013,0.275498575031491,2.84033018995842,,,,,,,,,,,,1980-01-01,1.55131804361542,0.998690083393653,0.404149675329309,,4.42443393483448
1980-04-01,3.12961762351206,2.93456480224095,0.195052821271107,1.51095464330911,,,,,,,,,,,,1980-04-01,1.56508141090869,1.00103586313043,0.405598759961348,,2.05068324173022
1980-07-01,3.1988772235526,3.00057249988391,0.198304723668685,0.36567050177257,,,,,,,,,,,,1980-07-01,1.57080459303643,1.00343937728264,0.406964617294801,,-1.6188346876594
1980-10-01,3.61704148781185,3.30325454166989,0.313786946141964,0.32347601294714,,,,,,,,,,,,1980-10-01,1.54606604680632,1.00590263141194,0.408249551600662,,4.57944499495154
1981-01-01,3.79352686018881,3.53611384845336,0.257413011735457,0.269309508121978,,,,,,,,,,,,1981-01-01,1.55794918954042,1.00844509037801,0.4096246860557,,5.5074471879972
1981-04-01,3.37215459814542,3.29187301707458,0.0802815810708453,-0.605403073235607,,,,,,,,,,,,1981-04-01,1.53811026773373,1.01105199392817,0.411224231948013,,7.71025531687128
1981-07-01,3.55052419327674,3.53263721245877,0.0178869808179725,-1.45369867267038,,,,,,,,,,,,1981-07-01,1.55590497522414,1.01360810199266,0.4126922250806,,7.67320208991323
1981-10-01,3.23660708022726,3.30626461464076,-0.0696575344135012,-2.5800726864353,,,,,,,,,,,,1981-10-01,1.55411220305488,1.01606913549187,0.41406973497744,,3.87984354541938
1982-01-01,2.81281879316121,3.05821352734252,-0.245394734181311,-4.19578195394922,,,,,,,,,,,,1982-01-01,1.58230230100742,1.01834490026934,0.415166905846716,,5.7621498284366
1982-04-01,2.87213399740186,3.18443477757988,-0.31230078017802,-5.20924211965223,,,,,,,,,,,,1982-04-01,1.60463044237572,1.02043662800961,0.415885034283333,,6.59154834482436
1982-07-01,2.82306268312663,3.0531348084118,-0.230072125285171,-5.63161037517909,,,,,,,,,,,,1982-07-01,1.63689659037921,1.02243209334015,0.416498704702089,,2.83649508444691
1982-10-01,2.73661391229817,3.00781277723987,-0.271198864941699,-6.23017141602952,,,,,,,,,,,,1982-10-01,1.66680370325832,1.0242599971735,0.416946704833393,,1.36505698468657
1983-01-01,2.86700694656926,3.12910195365832,-0.262095007089057,-6.20475982610844,,,,,,,,,,,,1983-01-01,1.66070940732125,1.025932488396,0.417209604450087,,0.688030884676436
1983-04-01,2.89669038234528,3.36110442981204,-0.464414047466766,-6.18255961456214,,,,,,,,,,,,1983-04-01,1.63777604415259,1.02747438510159,0.417273957367883,,1.39683809237492
